fpl_name,rp,teff,sinc,mp,period,TSM
KOI-3680 b,11.097000000000001,5830.0,3.3686637470516003,613.4119,141.241671,2.2081065018013817
KOI-94 b,1.71,6182.0,1053.181,10.5,3.743208,2.406323258060013
KOI-94 c,4.32,6182.0,268.219,15.6,10.423648,16.941438426345517
KOI-94 d,11.27,6182.0,97.12,106.0,22.342989,34.33331021828861
KOI-94 e,6.56,6182.0,29.7,35.0,54.32031,15.25057713286663
KPS-1 b,11.545,5165.0,729.0,346.4347,1.706291,46.68967923323552
Kepler-10 b,1.4809999999999999,5708.0,3741.78,4.60853,0.837491,2.7381148686360275
Kepler-10 c,2.323,5708.0,18.3,7.37,45.2946,11.586632506219743
Kepler-100 b,1.32,5825.0,478.214,7.34,6.88705,0.32851200503067046
Kepler-101 b,5.77,5667.0,1240.332,51.1,3.4876812,9.205157255377662
Kepler-102 d,1.18,4909.0,37.043,3.8,10.3117,1.0056221516664121
Kepler-102 e,2.22,4909.0,20.385,8.93,16.1457,16.273761426795318
Kepler-103 b,3.37,5845.0,150.536,9.7,15.9654,13.305814119874192
Kepler-103 c,5.14,5845.0,5.97,36.1,179.612,5.086374437256586
Kepler-104 b,3.1,5711.0,119.907,19.6,11.427548,5.280191349444396
Kepler-105 b,4.81,5827.0,341.809,5.1,5.4122,149.48243765738366
Kepler-105 c,1.31,5827.0,161.0,4.6,7.1262,0.5046716137105458
Kepler-106 c,2.5,5858.0,96.905,10.44,13.5708,6.7162167248671345
Kepler-106 e,2.56,5858.0,20.294,11.17,43.8445,4.559340284589319
Kepler-107 b,1.536,5854.0,1175.382,3.51,3.1800218,5.194709090748236
Kepler-107 c,1.597,5854.0,659.649,9.39,4.901452,1.889349508223513
Kepler-107 e,2.903,5854.0,151.942,8.6,14.749143,8.718957326248196
Kepler-11 b,1.8,5663.0,146.36,1.9,10.3039,9.898747061212442
Kepler-11 c,2.87,5663.0,107.224,2.9,13.0241,24.69949462112943
Kepler-11 d,3.12,5663.0,51.115,7.3,22.6845,10.477414700306467
Kepler-11 e,4.19,5663.0,32.34,8.0,31.9996,18.550176735580756
Kepler-11 f,2.49,5663.0,19.53,2.0,46.6888,15.04344604641701
Kepler-113 b,1.82,4725.0,105.333,11.7,4.754,4.828743932410869
Kepler-114 b,1.26,4605.0,92.535,6.8,5.188549,0.3823083176318999
Kepler-114 c,1.6,4605.0,51.623,2.8,8.041,10.89453014884625
Kepler-114 d,2.53,4605.0,31.016,3.9,11.776,27.23167153148783
Kepler-117 b,8.059,6150.0,157.541,29.875,18.7959228,16.668857161922933
Kepler-117 c,12.341,6150.0,41.863,584.78,50.790391,2.1954464566707848
Kepler-12 b,19.660999999999998,5947.0,877.539,137.30256,4.4379629,141.84681944457157
Kepler-120 b,2.15,4096.0,42.692,8.5,6.312501,7.67057041510755
Kepler-122 e,2.6,6050.0,36.299,27.7,37.993273,0.8426696278115656
Kepler-122 f,1.75,6050.0,21.524,36.0,56.268,0.17345112510490177
